customer_id,last_purchase,frequency,monetary,recency_days,R_score,F_score,M_score,RFM_score,segment
12445,2010-10-15 12:28:00,1,301.58000000000004,56,3,1,2,3-1-2,Promising
12449,2010-10-25 12:21:00,2,253.105,46,3,2,2,3-2-2,Potential Loyalists
12450,2010-11-05 16:27:00,3,480.86,35,4,3,3,4-3-3,Potential Loyalists
12451,2010-09-02 15:38:00,3,3272.88,99,2,3,5,2-3-5,About to Sleep
12454,2010-11-09 10:09:00,4,1636.26,31,4,4,4,4-4-4,Champions
12455,2010-09-20 14:39:00,4,2875.3849999999998,81,2,4,5,2-4-5,Loyal Customers
12457,2010-09-30 17:59:00,1,490.08,71,3,1,3,3-1-3,Other
12458,2010-10-08 11:36:00,2,734.52,63,3,2,3,3-2-3,Potential Loyalists
12459,2010-04-13 14:53:00,1,394.59499999999997,241,1,1,2,1-1-2,Hibernating
12460,2010-09-09 13:51:00,1,304.26,92,2,1,2,2-1-2,Hibernating
12466,2010-01-26 16:26:00,1,8.649999999999999,318,1,1,1,1-1-1,Hibernating
12467,2010-10-12 15:41:00,1,130.91,59,3,1,1,3-1-1,Promising
12468,2010-07-01 10:28:00,3,2406.535,162,2,3,5,2-3-5,About to Sleep
12469,2010-07-05 12:40:00,2,1388.72,158,2,2,4,2-2-4,About to Sleep
12470,2010-01-19 11:01:00,1,200.55,325,1,1,1,1-1-1,Hibernating
12471,2010-11-30 14:35:00,49,16923.46,10,5,5,5,5-5-5,Champions
12472,2010-12-05 14:19:00,13,10496.66,5,5,5,5,5-5-5,Champions
12474,2010-11-26 12:19:00,13,4689.625,14,5,5,5,5-5-5,Champions
12475,2010-10-26 08:49:00,1,409.49,45,3,1,2,3-1-2,Promising
12476,2010-11-08 09:35:00,12,6507.775,32,4,5,5,4-5-5,Champions
12477,2010-11-05 09:35:00,3,6450.93,35,4,3,5,4-3-5,Potential Loyalists
12480,2010-11-05 15:08:00,3,1709.1299999999999,35,4,3,4,4-3-4,Potential Loyalists
12481,2010-12-09 10:13:00,6,4867.805,1,5,4,5,5-4-5,Champions
12482,2010-05-12 16:51:00,29,6149.455,212,1,5,5,1-5-5,Loyal Customers
12483,2010-11-26 12:35:00,11,1930.075,14,5,5,5,5-5-5,Champions
12484,2010-08-13 13:45:00,6,1470.3899999999999,119,2,4,4,2-4-4,Loyal Customers
12485,2010-06-28 15:22:00,1,702.56,165,2,1,3,2-1-3,Other
12486,2010-10-04 12:14:00,1,888.295,67,3,1,4,3-1-4,Other
12487,2009-12-09 11:36:00,1,94.0,366,1,1,1,1-1-1,Hibernating
12490,2010-11-26 14:16:00,11,3908.95,14,5,5,5,5-5-5,Champions
12492,2010-11-01 14:58:00,1,409.54999999999995,39,3,1,2,3-1-2,Promising
12494,2010-12-09 11:31:00,3,552.0649999999999,1,5,3,3,5-3-3,Potential Loyalists
12495,2010-03-09 10:53:00,1,294.7,276,1,1,2,1-1-2,Hibernating
12496,2010-03-29 14:06:00,2,45.34,256,1,2,1,1-2-1,Hibernating
12497,2010-11-04 12:31:00,2,1489.965,36,4,2,4,4-2-4,Potential Loyalists
12499,2010-05-28 15:12:00,1,356.395,196,1,1,2,1-1-2,Hibernating
12500,2010-09-30 18:45:00,8,1409.205,71,3,5,4,3-5-4,Loyal Customers
12503,2010-05-04 13:59:00,1,46.25,220,1,1,1,1-1-1,Hibernating
12504,2010-10-18 15:09:00,2,182.65,53,3,2,1,3-2-1,Promising
12505,2010-10-27 09:18:00,1,804.075,44,3,1,3,3-1-3,Other
12507,2010-05-04 09:23:00,1,457.34999999999997,220,1,1,3,1-1-3,Lost
12510,2010-09-06 14:27:00,7,2285.765,95,2,5,5,2-5-5,Loyal Customers
12511,2010-10-07 10:39:00,1,2911.725,64,3,1,5,3-1-5,Other
12514,2010-03-08 12:18:00,1,579.455,277,1,1,3,1-1-3,Lost
12516,2010-10-05 09:43:00,2,1080.405,66,3,2,4,3-2-4,Potential Loyalists
12519,2010-08-20 08:21:00,1,359.895,112,2,1,2,2-1-2,Hibernating
12523,2010-11-30 12:31:00,12,2369.29,10,5,5,5,5-5-5,Champions
12524,2010-11-16 09:08:00,9,3453.045,24,4,5,5,4-5-5,Champions
12525,2010-07-29 16:08:00,3,916.41,134,2,3,4,2-3-4,About to Sleep
12527,2010-08-02 12:23:00,2,324.175,130,2,2,2,2-2-2,About to Sleep
12529,2010-06-29 13:10:00,1,312.55,164,2,1,2,2-1-2,Hibernating
12530,2010-10-20 15:15:00,5,1604.78,51,3,4,4,3-4-4,Loyal Customers
12531,2010-01-22 14:17:00,1,1702.175,322,1,1,4,1-1-4,Lost
12533,2010-03-22 10:56:00,2,1266.85,263,1,2,4,1-2-4,Other
12537,2010-10-27 08:36:00,1,636.745,44,3,1,3,3-1-3,Other
12538,2010-11-26 13:02:00,1,243.76999999999998,14,5,1,2,5-1-2,Recent Customers
12539,2010-09-15 09:50:00,3,5288.885,86,2,3,5,2-3-5,About to Sleep
12540,2010-11-26 10:43:00,16,7157.03,14,5,5,5,5-5-5,Champions
12542,2010-08-12 19:12:00,2,449.745,120,2,2,3,2-2-3,About to Sleep
12543,2010-09-17 15:51:00,1,768.145,84,2,1,3,2-1-3,Other
12547,2010-07-27 13:55:00,1,155.67,136,2,1,1,2-1-1,Hibernating
12549,2010-05-13 12:05:00,6,1074.565,211,1,4,4,1-4-4,Loyal Customers
12553,2010-11-19 12:18:00,2,814.12,21,4,2,3,4-2-3,Potential Loyalists
12554,2010-09-17 12:29:00,1,406.375,84,2,1,2,2-1-2,Hibernating
12555,2010-01-26 16:26:00,1,8.649999999999999,318,1,1,1,1-1-1,Hibernating
12557,2010-12-03 12:20:00,4,1274.405,7,5,4,4,5-4-4,Champions
12562,2010-11-19 09:35:00,2,963.37,21,4,2,4,4-2-4,Potential Loyalists
12563,2010-10-27 09:52:00,1,229.89,44,3,1,2,3-1-2,Promising
12567,2010-12-07 10:36:00,7,3753.49,3,5,5,5,5-5-5,Champions
12568,2010-03-05 09:15:00,1,56.019999999999996,280,1,1,1,1-1-1,Hibernating
12570,2010-01-26 17:28:00,1,8.649999999999999,318,1,1,1,1-1-1,Hibernating
12573,2010-11-23 13:01:00,4,529.76,17,4,4,3,4-4-3,Loyal Customers
12575,2010-09-08 13:09:00,2,580.045,93,2,2,3,2-2-3,About to Sleep
12576,2010-11-12 12:44:00,3,756.69,28,4,3,3,4-3-3,Potential Loyalists
12577,2010-11-23 14:06:00,5,946.02,17,4,4,4,4-4-4,Champions
12578,2010-11-19 17:21:00,2,1392.48,21,4,2,4,4-2-4,Potential Loyalists
12580,2010-05-12 11:45:00,1,607.36,212,1,1,3,1-1-3,Lost
12582,2010-10-13 10:52:00,2,1377.34,58,3,2,4,3-2-4,Potential Loyalists
12583,2010-12-01 08:45:00,13,6392.915,9,5,5,5,5-5-5,Champions
12586,2010-11-30 10:47:00,3,1735.02,10,5,3,4,5-3-4,Potential Loyalists
12588,2010-11-05 12:53:00,3,561.12,35,4,3,3,4-3-3,Potential Loyalists
12589,2010-10-14 11:54:00,6,2784.37,57,3,4,5,3-4-5,Loyal Customers
12591,2010-11-14 14:32:00,2,770.9,26,4,2,3,4-2-3,Potential Loyalists
12592,2010-07-08 14:26:00,3,1161.99,155,2,3,4,2-3-4,About to Sleep
12594,2010-11-26 12:17:00,5,1529.1000000000001,14,5,4,4,5-4-4,Champions
12595,2010-07-23 09:10:00,1,257.53,140,2,1,2,2-1-2,Hibernating
12598,2010-09-02 14:22:00,3,1341.985,99,2,3,4,2-3-4,About to Sleep
12599,2010-11-23 15:49:00,6,1110.965,17,4,4,4,4-4-4,Champions
12600,2010-12-03 12:57:00,12,2236.965,7,5,5,5,5-5-5,Champions
12601,2010-10-31 10:57:00,1,85.625,40,3,1,1,3-1-1,Promising
12605,2010-11-28 14:18:00,4,1171.0149999999999,12,5,4,4,5-4-4,Champions
12606,2010-01-26 16:23:00,1,8.649999999999999,318,1,1,1,1-1-1,Hibernating
12608,2010-10-31 10:49:00,1,245.49,40,3,1,2,3-1-2,Promising
12609,2010-11-30 14:48:00,6,2140.83,10,5,4,5,5-4-5,Champions
12613,2010-11-16 17:17:00,5,3125.03,24,4,4,5,4-4-5,Champions
12615,2010-10-22 09:45:00,4,3190.605,49,3,4,5,3-4-5,Loyal Customers
12616,2010-11-16 11:38:00,1,393.25,24,4,1,2,4-1-2,Recent Customers
12619,2010-05-28 12:52:00,1,134.94,196,1,1,1,1-1-1,Hibernating
12621,2010-12-09 10:16:00,16,7745.695,1,5,5,5,5-5-5,Champions
12623,2010-10-19 09:35:00,6,3154.675,52,3,4,5,3-4-5,Loyal Customers
12625,2010-07-18 15:56:00,2,2212.175,145,2,2,5,2-2-5,About to Sleep
12629,2010-11-19 09:18:00,2,1048.85,21,4,2,4,4-2-4,Potential Loyalists
12631,2010-09-09 14:50:00,5,2812.17,92,2,4,5,2-4-5,Loyal Customers
12632,2010-07-07 09:39:00,2,721.05,156,2,2,3,2-2-3,About to Sleep
12633,2010-11-22 13:09:00,3,3270.67,18,4,3,5,4-3-5,Potential Loyalists
12634,2010-06-22 10:05:00,2,363.875,171,2,2,2,2-2-2,About to Sleep
12635,2010-11-12 15:46:00,2,1160.53,28,4,2,4,4-2-4,Potential Loyalists
12636,2009-12-01 09:55:00,1,8.649999999999999,374,1,1,1,1-1-1,Hibernating
12637,2010-11-26 13:50:00,4,2199.845,14,5,4,5,5-4-5,Champions
12638,2010-03-10 10:30:00,1,162.5,275,1,1,1,1-1-1,Hibernating
12639,2010-10-01 12:17:00,2,719.06,70,3,2,3,3-2-3,Potential Loyalists
12643,2010-11-19 12:42:00,6,1075.46,21,4,4,4,4-4-4,Champions
12644,2010-10-05 10:23:00,3,1408.395,66,3,3,4,3-3-4,Potential Loyalists
12645,2010-10-26 18:44:00,4,1658.815,45,3,4,4,3-4-4,Loyal Customers
12647,2010-12-07 12:28:00,27,10448.005,3,5,5,5,5-5-5,Champions
12648,2010-09-28 10:35:00,3,740.22,73,2,3,3,2-3-3,About to Sleep
12649,2010-11-22 12:57:00,5,1433.73,18,4,4,4,4-4-4,Champions
12651,2010-11-26 11:58:00,3,263.75,14,5,3,2,5-3-2,Potential Loyalists
12652,2010-10-01 15:16:00,1,96.0,70,3,1,1,3-1-1,Promising
12653,2010-07-01 09:56:00,1,1796.835,162,2,1,4,2-1-4,Other
12655,2010-10-12 09:17:00,1,248.1,59,3,1,2,3-1-2,Promising
12656,2010-10-10 10:43:00,3,2131.2,61,3,3,5,3-3-5,Potential Loyalists
12661,2010-09-29 16:46:00,1,160.075,72,2,1,1,2-1-1,Hibernating
12662,2010-12-01 13:04:00,10,2943.91,9,5,5,5,5-5-5,Champions
12663,2010-03-25 09:40:00,2,158.0,260,1,2,1,1-2-1,Hibernating
12664,2010-07-13 13:28:00,2,546.4300000000001,150,2,2,3,2-2-3,About to Sleep
12665,2010-10-18 11:34:00,2,231.275,53,3,2,2,3-2-2,Potential Loyalists
12666,2010-11-10 16:40:00,1,1145.465,30,4,1,4,4-1-4,Recent Customers
12668,2010-11-26 11:48:00,6,6937.255,14,5,4,5,5-4-5,Champions
12670,2010-11-19 10:05:00,2,704.585,21,4,2,3,4-2-3,Potential Loyalists
12671,2010-04-12 16:30:00,1,1949.941,242,1,1,5,1-1-5,Lost
12672,2010-04-23 09:57:00,1,197.15,231,1,1,1,1-1-1,Hibernating
12673,2010-11-03 10:46:00,1,564.15,37,3,1,3,3-1-3,Other
12675,2010-06-04 09:49:00,2,853.125,189,1,2,4,1-2-4,Other
12676,2010-10-27 09:36:00,5,1176.1399999999999,44,3,4,4,3-4-4,Loyal Customers
12677,2010-06-02 14:30:00,2,376.4,191,1,2,2,1-2-2,Hibernating
12678,2010-11-29 09:55:00,9,6900.865,11,5,5,5,5-5-5,Champions
12681,2010-12-07 10:08:00,24,15426.94,3,5,5,5,5-5-5,Champions
12682,2010-12-09 14:49:00,23,10963.6,1,5,5,5,5-5-5,Champions
12683,2010-12-09 12:17:00,8,3837.41,1,5,5,5,5-5-5,Champions
12686,2010-12-03 09:51:00,1,79.16,7,5,1,1,5-1-1,Recent Customers
12687,2010-08-16 12:12:00,2,1821.915,116,2,2,5,2-2-5,About to Sleep
12691,2010-10-15 12:00:00,1,125.25,56,3,1,1,3-1-1,Promising
12692,2010-03-12 14:02:00,1,110.95,273,1,1,1,1-1-1,Hibernating
12693,2010-11-08 14:57:00,3,765.5649999999999,32,4,3,3,4-3-3,Potential Loyalists
12694,2010-10-14 19:39:00,1,800.4449999999999,57,3,1,3,3-1-3,Other
12695,2010-06-29 16:12:00,3,767.47,164,2,3,3,2-3-3,About to Sleep
12696,2010-10-01 10:43:00,2,754.615,70,3,2,3,3-2-3,Potential Loyalists
12698,2010-04-28 15:51:00,1,296.29999999999995,226,1,1,2,1-1-2,Hibernating
12699,2010-10-18 12:07:00,1,577.05,53,3,1,3,3-1-3,Other
12701,2010-06-28 13:44:00,4,1552.88,165,2,4,4,2-4-4,Loyal Customers
12703,2010-03-16 13:22:00,3,671.265,269,1,3,3,1-3-3,At Risk
12705,2010-11-21 13:59:00,5,4753.235,19,4,4,5,4-4-5,Champions
12708,2010-12-06 10:43:00,9,2377.995,4,5,5,5,5-5-5,Champions
12709,2010-12-08 09:49:00,20,13989.055,2,5,5,5,5-5-5,Champions
12711,2010-04-07 11:59:00,2,1215.255,247,1,2,4,1-2-4,Other
12712,2010-12-09 11:39:00,10,2549.985,1,5,5,5,5-5-5,Champions
12714,2010-11-16 18:10:00,7,8596.325,24,4,5,5,4-5-5,Champions
12717,2010-04-28 14:34:00,1,236.58,226,1,1,2,1-1-2,Hibernating
12720,2010-12-05 15:21:00,6,2285.615,5,5,4,5,5-4-5,Champions
12721,2010-11-19 15:13:00,2,1255.655,21,4,2,4,4-2-4,Potential Loyalists
12724,2010-11-21 13:26:00,3,1151.96,19,4,3,4,4-3-4,Potential Loyalists
12725,2010-12-03 15:45:00,4,1770.44,7,5,4,4,5-4-4,Champions
12726,2010-11-17 16:59:00,4,1024.12,23,4,4,4,4-4-4,Champions
12727,2010-09-23 10:45:00,3,1559.175,78,2,3,4,2-3-4,About to Sleep
12728,2010-11-21 11:34:00,1,212.215,19,4,1,2,4-1-2,Recent Customers
12730,2010-07-06 12:19:00,1,753.5,157,2,1,3,2-1-3,Other
12731,2010-09-23 15:12:00,5,4721.224999999999,78,2,4,5,2-4-5,Loyal Customers
12733,2010-11-15 13:56:00,3,1936.77,25,4,3,5,4-3-5,Potential Loyalists
12734,2010-11-30 11:05:00,2,368.575,10,5,2,2,5-2-2,Potential Loyalists
12737,2010-07-29 12:29:00,2,17.299999999999997,134,2,2,1,2-2-1,About to Sleep
12738,2010-12-02 18:27:00,1,143.6,8,5,1,1,5-1-1,Recent Customers
12739,2010-11-19 09:42:00,2,1139.125,21,4,2,4,4-2-4,Potential Loyalists
12741,2010-06-28 14:36:00,2,242.63,165,2,2,2,2-2-2,About to Sleep
12742,2010-03-24 12:43:00,1,1084.845,261,1,1,4,1-1-4,Lost
12744,2010-09-06 10:24:00,4,3197.35,95,2,4,5,2-4-5,Loyal Customers
12745,2010-08-10 10:14:00,3,616.805,122,2,3,3,2-3-3,About to Sleep
12746,2010-06-17 10:41:00,1,254.55,176,2,1,2,2-1-2,Hibernating
12747,2010-12-05 15:38:00,16,4370.335,5,5,5,5,5-5-5,Champions
12748,2010-12-09 13:22:00,144,16630.954999999998,1,5,5,5,5-5-5,Champions
12749,2010-11-05 13:56:00,4,2453.67,35,4,4,5,4-4-5,Champions
12751,2010-09-21 12:49:00,1,267.955,80,2,1,2,2-1-2,Hibernating
12755,2010-12-09 10:44:00,10,1129.785,1,5,5,4,5-5-4,Champions
12758,2010-09-06 13:02:00,5,5933.255,95,2,4,5,2-4-5,Loyal Customers
12759,2010-11-18 19:14:00,5,3287.97,22,4,4,5,4-4-5,Champions
12760,2010-09-10 08:50:00,1,334.055,91,2,1,2,2-1-2,Hibernating
12761,2010-09-08 12:17:00,2,698.35,93,2,2,3,2-2-3,About to Sleep
12763,2010-12-05 15:46:00,1,318.63,5,5,1,2,5-1-2,Recent Customers
12765,2010-08-24 13:51:00,6,1243.225,108,2,4,4,2-4-4,Loyal Customers
12766,2010-12-08 13:53:00,3,2595.925,2,5,3,5,5-3-5,Potential Loyalists
12767,2010-11-29 09:38:00,1,875.12,11,5,1,4,5-1-4,Recent Customers
12768,2010-09-15 12:08:00,1,159.38000000000002,86,2,1,1,2-1-1,Hibernating
12770,2010-09-09 11:43:00,1,972.005,92,2,1,4,2-1-4,Other
12771,2010-08-11 11:51:00,1,238.39999999999998,121,2,1,2,2-1-2,Hibernating
12773,2010-05-24 17:30:00,1,71.17999999999999,200,1,1,1,1-1-1,Hibernating
12774,2010-06-22 10:38:00,1,92.35,171,2,1,1,2-1-1,Hibernating
12775,2010-11-16 15:14:00,2,273.705,24,4,2,2,4-2-2,Potential Loyalists
12776,2010-02-10 12:11:00,1,35.519999999999996,303,1,1,1,1-1-1,Hibernating
12777,2010-09-08 11:35:00,1,439.78499999999997,93,2,1,3,2-1-3,Other
12778,2010-11-08 10:51:00,3,851.365,32,4,3,4,4-3-4,Potential Loyalists
12779,2010-12-03 13:40:00,7,2604.58,7,5,5,5,5-5-5,Champions
12780,2010-04-20 09:40:00,1,304.025,234,1,1,2,1-1-2,Hibernating
12782,2010-11-30 11:37:00,6,2021.08,10,5,4,5,5-4-5,Champions
12784,2010-06-28 13:06:00,1,1078.785,165,2,1,4,2-1-4,Other
12785,2010-06-22 12:16:00,2,637.85,171,2,2,3,2-2-3,About to Sleep
12786,2010-04-09 12:12:00,1,635.125,245,1,1,3,1-1-3,Lost
12787,2010-10-22 14:57:00,1,388.84499999999997,49,3,1,2,3-1-2,Promising
12788,2010-09-02 14:21:00,4,419.5,99,2,4,2,2-4-2,About to Sleep
12789,2010-07-15 12:43:00,2,165.8,148,2,2,1,2-2-1,About to Sleep
12790,2010-10-25 13:04:00,1,235.76,46,3,1,2,3-1-2,Promising
12791,2010-12-01 11:27:00,6,521.7049999999999,9,5,4,3,5-4-3,Loyal Customers
12792,2010-06-23 10:49:00,1,379.71999999999997,170,2,1,2,2-1-2,Hibernating
12793,2010-12-03 15:14:00,2,413.8,7,5,2,2,5-2-2,Potential Loyalists
12796,2010-03-21 15:49:00,1,292.25,264,1,1,2,1-1-2,Hibernating
12797,2010-12-09 10:55:00,2,487.12,1,5,2,3,5-2-3,Potential Loyalists
12798,2010-10-14 12:27:00,1,174.385,57,3,1,1,3-1-1,Promising
12799,2010-06-28 15:57:00,1,211.05,165,2,1,1,2-1-1,Hibernating
12800,2010-08-26 14:11:00,3,525.99,106,2,3,3,2-3-3,About to Sleep
12801,2010-07-27 09:38:00,1,823.0799999999999,136,2,1,3,2-1-3,Other
12802,2010-09-23 10:23:00,6,1763.955,78,2,4,4,2-4-4,Loyal Customers
12803,2010-11-11 14:57:00,1,986.17,29,4,1,4,4-1-4,Recent Customers
12804,2010-08-31 11:58:00,2,319.655,101,2,2,2,2-2-2,About to Sleep
12805,2010-11-23 12:27:00,4,1275.6,17,4,4,4,4-4-4,Champions
12806,2010-09-30 13:34:00,4,1461.6599999999999,71,3,4,4,3-4-4,Loyal Customers
12807,2010-11-21 14:21:00,1,253.6,19,4,1,2,4-1-2,Recent Customers
12808,2010-12-06 10:27:00,3,403.1,4,5,3,2,5-3-2,Potential Loyalists
12809,2010-05-23 11:08:00,2,1003.505,201,1,2,4,1-2-4,Other
12810,2010-06-23 10:53:00,2,502.67,170,2,2,3,2-2-3,About to Sleep
12811,2010-11-26 09:49:00,2,460.275,14,5,2,3,5-2-3,Potential Loyalists
12813,2010-07-26 09:50:00,3,1238.875,137,2,3,4,2-3-4,About to Sleep
12817,2010-11-05 08:28:00,2,462.24,35,4,2,3,4-2-3,Potential Loyalists
12819,2010-09-07 15:20:00,1,447.225,94,2,1,3,2-1-3,Other
12820,2010-11-07 14:26:00,7,1660.59,33,4,5,4,4-5-4,Champions
12821,2010-04-07 15:14:00,1,127.03,247,1,1,1,1-1-1,Hibernating
12823,2010-11-10 12:22:00,13,2022.175,30,4,5,5,4-5-5,Champions
12825,2010-07-06 13:56:00,2,441.92999999999995,157,2,2,3,2-2-3,About to Sleep
12826,2010-12-09 15:21:00,6,1378.655,1,5,4,4,5-4-4,Champions
12829,2010-06-07 15:04:00,1,65.615,186,1,1,1,1-1-1,Hibernating
12831,2010-09-02 16:00:00,2,217.14499999999998,99,2,2,2,2-2-2,About to Sleep
12835,2010-10-08 10:59:00,41,5919.425,63,3,5,5,3-5-5,Loyal Customers
12836,2010-11-15 16:22:00,11,3545.61,25,4,5,5,4-5-5,Champions
12837,2010-05-19 15:10:00,1,481.65999999999997,205,1,1,3,1-1-3,Lost
12838,2010-12-01 11:57:00,9,2422.82,9,5,5,5,5-5-5,Champions
12839,2010-12-07 15:48:00,13,4298.03,3,5,5,5,5-5-5,Champions
12840,2010-09-28 17:58:00,3,1148.09,73,2,3,4,2-3-4,About to Sleep
12841,2010-12-05 12:15:00,17,3200.745,5,5,5,5,5-5-5,Champions
12842,2010-10-31 10:45:00,2,507.04999999999995,40,3,2,3,3-2-3,Potential Loyalists
12843,2010-11-22 13:31:00,22,3042.545,18,4,5,5,4-5-5,Champions
12844,2010-09-23 16:23:00,2,315.44,78,2,2,2,2-2-2,About to Sleep
12846,2010-01-26 16:29:00,1,8.649999999999999,318,1,1,1,1-1-1,Hibernating
